"number";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"FW";24;1877;9;0;2.06;0.72;9.94;2.02;0.48;0.1
2;"Sub";8;202;3;0;2.23;0.89;1.5;0.19;0.67;0.08
