"number";"shotZones";"shots";"goals";"kp";"assists";"xG";"xA";"xGperSh";"xAperKP"
1;"Out of box";4;1;3;0;0.25;0.08;0.06;0.03
2;"Penalty area";34;7;12;0;6.59;1.59;0.19;0.13
3;"Six-yard box";10;4;2;0;4.6;0.53;0.46;0.27
